anchor_key_slp1	dcs_lemma_id	dcs_lemma_iast	tier	evidence_count
ABAsin	214481	ābhāṣin	relaxed	2
ABaraRa	214302	abharaṇa	relaxed	1
ABrika	213561	abhrikā	relaxed	1
ADAraRa	201233	adhāraṇa	relaxed	2
ADyE	216338	adhyai	relaxed	1
AGrARa	201929	aghrāṇa	relaxed	3
AKyAyikA	220777	ākhyāyika	relaxed	1
ANgarizWa	214508	aṅgāriṣṭha	relaxed	2
APUka	204652	aphūka	relaxed	3
APUka	205812	aphuka	relaxed	1
APalaka	171357	aphalaka	relaxed	1
ASiYj	211026	āsiñj	relaxed	1
ASikzA	214017	aśikṣā	relaxed	1
ASrayASa	225371	āśrāyasa	relaxed	2
ASreya	222174	āsreya	relaxed	1
ASvinI	60410	aśvinī	relaxed	46
ASvineya	201406	aśvineya	relaxed	1
AYjigavi	225770	āñjīgavi	relaxed	1
Abrahma	177139	abrāhma	relaxed	1
AcCanna	171248	acchanna	relaxed	1
AdAyamAna	214411	adayamāna	relaxed	1
AdIpta	7579	adīpta	relaxed	1
AdaMSa	199178	adaṃśa	relaxed	1
AdiS	170717	adiś	relaxed	2
AdigDa	207026	adigdha	relaxed	1
AdityapraBa	226482	ādityaprabhā	relaxed	5
AdityavarRa	209580	ādityavarṇā	relaxed	1
Adizwa	172373	adiṣṭa	relaxed	2
AdyakAlika	209966	adyakālika	relaxed	1
AgAraDUma	203064	agāradhūma	relaxed	2
AgArika	170693	agārika	relaxed	6
AgF	159726	āgṛ	relaxed	1
Agamana	201548	agamana	relaxed	6
Agantf	201148	agantṛ	relaxed	4
AgnAvEzRava	223594	agnāvaiṣṇava	relaxed	1
AgnIDrIya	224231	āgnidhrīya	relaxed	1
AgnyADeyikya	224179	agnyādheyikya	relaxed	1
AgraTita	207582	agrathita	relaxed	1
AhAray	223223	āharay	relaxed	1
AhInika	225357	āhinīka	relaxed	2
AhaMkArika	209929	ahaṃkārika	relaxed	1
Ahaka	205330	ahaka	relaxed	3
Ahalak	224228	ahalak	relaxed	1
AjYApaka	203878	ajñāpaka	relaxed	1
AjYAtf	214581	ajñātṛ	relaxed	1
AjihIrzA	174515	ajihīrṣā	relaxed	1
AkANkzin	172040	akāṅkṣin	relaxed	2
AkAravat	217350	ākaravat	relaxed	2
AkArita	212012	akārita	relaxed	1
Akac	213241	akac	relaxed	4
Akleda	214253	akleda	relaxed	1
AlApin	200543	alapin	relaxed	1
AliKita	169607	alikhita	relaxed	2
AlokAkASa	170256	alokākāśa	relaxed	2
Aloqya	207880	aloḍya	relaxed	1
AmAd	217667	āmad	relaxed	1
AmIlita	207986	amīlita	relaxed	1
AmaRqaka	214308	amandaka	relaxed	1
AmaganDa	174443	āmagandhā	relaxed	1
AmuktikA	220881	āmuktika	relaxed	1
AnATya	211828	anāthya	relaxed	1
AnAyAy	171922	ānāyay	relaxed	119
Anandana	212835	anandana	relaxed	1
AnfRya	170026	anṛṇya	relaxed	3
AntarAlika	176317	antarālika	relaxed	3
ApAyika	170948	apāyika	relaxed	1
ApIya	223531	apiyā	relaxed	1
Apadeva	223796	apadeva	relaxed	1
Apadika	201615	apādikā	relaxed	1
AparAhRika	199471	aparāhṇika	relaxed	9
Apavargika	208873	apavargika	relaxed	1
ApiSaNga	199016	apiśaṅga	relaxed	2
Aplavana	202154	āplāvana	relaxed	5
ArUQi	169938	arūḍhi	relaxed	1
AraNga	172902	araṅga	relaxed	1
AraYjana	204562	arañjana	relaxed	1
AraktI	167854	arakti	relaxed	1
ArakzaRa	201741	arakṣaṇa	relaxed	2
ArakzaRa	211503	arakṣaṇa	relaxed	1
AramBaRIya	223879	ārambhaṇīyā	relaxed	10
Arawita	222665	arātīta	relaxed	2
Arawwa	216877	āraṭṭā	relaxed	1
Arocana	166003	arocana	relaxed	1
Artimat	204645	artimat	relaxed	2
AryamRa	223049	aryamṇa	relaxed	2
Aryaputra	211622	aryaputra	relaxed	32
ArzyaSfNga	215109	ārśyaśṛṅga	relaxed	1
AsaMsAra	215141	asaṃsāra	relaxed	1
Asajya	209417	asajya	relaxed	1
AsanAdi	205580	asanādi	relaxed	3
Asanaka	205616	asanaka	relaxed	1
Asf	170169	āśṛ	relaxed	2
Asic	215944	asic	relaxed	1
AsrAvin	202230	asrāvin	relaxed	1
AstAva	224141	āstava	relaxed	3
AstaraRavat	174594	āstāraṇavat	relaxed	1
AsurAyaRi	200275	āsurāyaṇī	relaxed	2
AsvAdana	217554	āsvadana	relaxed	1
AsvApana	206931	asvapana	relaxed	1
Asvan	210656	aśvan	relaxed	1
AtF	159770	ātṛ	relaxed	13
Atam	215657	ātām	relaxed	1
AtapAy	220845	ātāpay	relaxed	1
Atijagata	222307	atijāgata	relaxed	4
Atman	223537	atman	relaxed	2
Atu	213768	atu	relaxed	1
Avarjya	176350	avarjya	relaxed	2
Avasu	222193	avasu	relaxed	1
AveDa	215157	avedha	relaxed	1
Avega	205099	avega	relaxed	3
AviBA	224904	avibha	relaxed	2
AvirBAva	222393	āvirbhava	relaxed	1
Awavya	211299	āṭavyā	relaxed	1
AyAc	215865	ayac	relaxed	1
AyAcitf	210992	ayācitṛ	relaxed	1
AyoDa	225386	ayodha	relaxed	1
Ayuktaka	212284	ayuktaka	relaxed	1
BARqArI	206409	bhaṇḍārī	relaxed	1
BAgIraTI	220279	bhagīrathī	relaxed	1
BAllavin	199028	bhallāvin	relaxed	1
BArAy	160269	bhāray	relaxed	1
BArAy	218161	bharay	relaxed	5
BAradvAjAyana	216835	bharadvājāyana	relaxed	1
BAradvAjI	210795	bharadvājī	relaxed	1
BArgava	211268	bhārgavā	relaxed	1
BAsAy	157943	bhāṣay	relaxed	7
BAsAy	159477	bhāsay	relaxed	45
BAsura	209312	bhāsurā	relaxed	1
BAvaSudDi	213616	bhavaśuddhi	relaxed	1
BUDaraja	200806	bhūdharajā	relaxed	1
BUmat	224028	bhumat	relaxed	1
BUrja	166363	bhurja	relaxed	2
BUtaBavya	225271	bhūtābhavya	relaxed	1
BUtapati	209334	bhūtapatī	relaxed	1
BUtavfkza	205685	bhūtavṛkṣā	relaxed	1
BUzAy	160268	bhūṣay	relaxed	514
BaNgASvina	225689	bhāṅgāśvina	relaxed	1
BaNgAsvana	217191	bhaṅgāśvana	relaxed	3
BaRqIralatikA	167221	bhāṇḍīralatikā	relaxed	1
BaRwAkI	168694	bhāṇṭākī	relaxed	1
BaYjI	213781	bhañji	relaxed	1
BaYjin	206912	bhāñjin	relaxed	2
BaddAlin	220274	bhāddālin	relaxed	1
BadrABadra	208668	bhadrābhadrā	relaxed	1
BadrAha	209351	bhadrahā	relaxed	1
Badraja	166261	bhadrajā	relaxed	1
BadrakASI	166935	bhadrakāsī	relaxed	1
BadrakarRa	209251	bhadrakarṇā	relaxed	2
Badrayava	166263	bhadrayavā	relaxed	5
Bagini	48528	bhaginī	relaxed	261
Bagini	49537	bhāginī	relaxed	4
BallAtaka	202126	bhāllātaka	relaxed	1
BaratASrama	208210	bhāratāśrama	relaxed	1
BarukacCa	198617	bhārukaccha	relaxed	1
BayAvaha	174771	bhayāvahā	relaxed	1
BayAy	211086	bhāyay	relaxed	2
Baya	206008	bhayā	relaxed	2
BerIka	202169	bherikā	relaxed	1
BettA	172005	bhetta	relaxed	1
BfNgapriyA	166355	bhṛṅgapriya	relaxed	1
BfNgiriwa	172092	bhṛṅgirīṭa	relaxed	2
BfSa	176546	bhṛśā	relaxed	2
Bfgupatana	172434	bhṛgupātana	relaxed	3
BikzAda	212506	bhikṣada	relaxed	4
BikzaRa	216049	bhīkṣaṇa	relaxed	1
Bizagjita	211239	bhiṣagjitā	relaxed	1
BrUkuwika	217575	bhrūkuṭīka	relaxed	1
BrUkuwika	221564	bhrukuṭikā	relaxed	3
BramAy	159183	bhrāmay	relaxed	134
BramAy	166695	bhramay	relaxed	24
BramarAnanda	166531	bhramarānandā	relaxed	1
BramarotsavA	210439	bhramarotsava	relaxed	1
Bukta	166774	bhuktā	relaxed	1
Buvana	172002	bhuvanā	relaxed	3
CARaka	175024	chaṇaka	relaxed	1
CAndasa	224934	chandasa	relaxed	9
CUrikApattrI	166402	churikāpattrī	relaxed	1
Cadma	167220	chadmā	relaxed	1
Cana	173662	chāṇa	relaxed	14
Catrin	214686	chātrin	relaxed	1
CattrAkI	206461	chattrakī	relaxed	1
Caz	213579	chas	relaxed	2
Cidra	209353	chidrā	relaxed	2
CinnodBavA	174568	chinnodbhava	relaxed	1
DAnuzya	167710	dhanuṣya	relaxed	1
DArAPala	168614	dhārāphalā	relaxed	1
DArAy	157617	dhāray	relaxed	1833
DAraRika	210694	dharaṇika	relaxed	2
DAtrIPala	210964	dhātrīphalā	relaxed	1
DAtreyikA	209113	dhātreyika	relaxed	1
DUlIjaNGa	174829	dhūlijaṅgha	relaxed	1
DUlikA	211729	dhūlīka	relaxed	1
DUrvI	215548	dhurvi	relaxed	1
Dak	213272	ḍhak	relaxed	12
DanADyakza	209609	dhanādhyakṣā	relaxed	1
DanAy	219443	dhanay	relaxed	4
Danapara	226450	dhanaparā	relaxed	1
Danvantari	209050	dhanvantarī	relaxed	1
Danvantari	224309	dhānvantari	relaxed	2
DarmaSIla	216487	dharmaśīlā	relaxed	1
Darmin	200169	dhārmin	relaxed	3
DayantikA	91884	dhayantika	relaxed	1
Dun	214867	dhūñ	relaxed	2
DvajAgraniSAmaRi	221940	dhvajāgraniśāmaṇī	relaxed	1
Dvasra	223497	dhvasrā	relaxed	2
Dvat	214807	dhvāt	relaxed	1
DyAmaka	212680	dhyāmakā	relaxed	1
ErAvata	210489	airavata	relaxed	1
GArikA	176828	ghārika	relaxed	1
GAtay	158357	ghāṭay	relaxed	1
GAtay	169279	ghaṭay	relaxed	40
GanIBAva	203153	ghānībhāva	relaxed	1
Gftavat	222711	ghṛtāvat	relaxed	1
Goqa	169504	ghoḍā	relaxed	1
GrAM	224013	ghram	relaxed	1
Guwa	210509	ghuṭā	relaxed	1
IdfSa	169610	īdṛṣa	relaxed	1
Iya	214917	iya	relaxed	1
KARu	220211	khanu	relaxed	1
KaSaya	217102	khaśayā	relaxed	1
Kaga	212925	khagā	relaxed	1
KalvakA	166712	khalvaka	relaxed	8
Kaqgaka	217753	khāḍgaka	relaxed	1
KaracCada	166139	kharacchadā	relaxed	1
Kaz	215400	khaś	relaxed	2
KelAy	216221	khelay	relaxed	2
Kfgala	223172	khṛgalā	relaxed	1
KilI	213136	khili	relaxed	2
Kowaka	205067	khoṭakā	relaxed	1
KyA	213657	khya	relaxed	1
KyAti	198999	khyātī	relaxed	1
Kyan	215258	khyāñ	relaxed	1
OdgAhamAni	202074	audgāhamani	relaxed	1
Ograseni	225490	augrasenī	relaxed	2
Otkarzya	175737	autkārṣya	relaxed	1
OttAnapAdi	216055	auttānapadi	relaxed	1
OttarapaTa	168722	auttarāpatha	relaxed	1
OttarapaTa	168753	auttarāpathā	relaxed	1
PAwakI	176045	phaṭakī	relaxed	2
PaRijihvikA	168696	phāṇijihvikā	relaxed	1
PalAmlika	208530	phalāmlikā	relaxed	1
PalAy	201023	phālay	relaxed	1
PalInI	154118	phalinī	relaxed	39
PalapriyA	174830	phalapriya	relaxed	1
Palgu	226445	phālgu	relaxed	1
PeYcaka	173689	pheñcāka	relaxed	1
SAKAmlA	210484	śākhāmla	relaxed	1
SAMSapAyana	218555	śāṃsapāyana	relaxed	1
SAMSapa	212449	saṃśapa	relaxed	1
SARqikera	223048	śāṇḍīkera	relaxed	1
SAkI	215349	śaki	relaxed	1
SAkaSAkawa	219138	śākaśākata	relaxed	1
SAlIki	222536	śāliki	relaxed	2
SAlInI	132444	śālinī	relaxed	5
SAlin	174745	śalin	relaxed	2
SAlmalIvezwa	170389	śālmaliveṣṭa	relaxed	1
SAlmala	200312	śalmala	relaxed	1
SAlmalika	201523	śālmalikā	relaxed	1
SAlveyaka	209436	sālveyaka	relaxed	1
SAntanunandana	217857	śantanunandana	relaxed	5
SAntideva	132292	śāntidevā	relaxed	5
SAradvata	199577	śaradvata	relaxed	1
SAratalpika	199807	śaratalpika	relaxed	1
SAzpaka	213523	śaṣpaka	relaxed	1
SElavAlukA	200949	śailavāluka	relaxed	1
SElodA	198882	śailoda	relaxed	1
SElodaka	198883	śailodakā	relaxed	1
SEvAlaka	191824	śaivalaka	relaxed	1
SItAnta	208566	sitānta	relaxed	4
SItapuzpaka	170435	sitapuṣpaka	relaxed	1
SItara	208822	sitāra	relaxed	1
SUlAcitaka	212120	śūlacitaka	relaxed	1
SUlAy	204662	śūlay	relaxed	4
SUlina	171192	sulīna	relaxed	1
SUrataraka	174793	suratārakā	relaxed	1
SUzya	224127	śuṣya	relaxed	1
SaMstA	209724	saṃsta	relaxed	2
SaMtAtIya	219814	śaṃtatīya	relaxed	1
SaMyuH	222078	saṃyūh	relaxed	1
SaNKI	212886	śāṅkhī	relaxed	1
SaNKakusuma	165805	śaṅkhakusumā	relaxed	2
SaNKamAlinI	115147	śaṅkhamālini	relaxed	1
SaNkAvizA	206680	śaṅkāviṣa	relaxed	2
SaRWa	218007	ṣaṇṭha	relaxed	8
SaSAda	202839	sasāda	relaxed	1
SaSikara	175904	sasīkara	relaxed	2
Sabalaka	173463	sabalāka	relaxed	2
Sak	214893	sak	relaxed	1
Sakaca	217001	sakaca	relaxed	1
SakalIkfti	215218	sakalīkṛti	relaxed	1
Sakan	215516	ṣākan	relaxed	1
SakrAhva	166259	śakrāhvā	relaxed	6
SaktIvat	213939	śaktivat	relaxed	1
Sakunaka	176958	śākunaka	relaxed	1
Sakunta	208163	śākunta	relaxed	1
Samopya	221035	samopya	relaxed	1
SapaTa	174481	sapāṭha	relaxed	1
SaraPala	210738	sāraphala	relaxed	1
SaraSAstra	218048	sāraśāstra	relaxed	3
SarabanDa	204335	sārabandha	relaxed	1
SatAnIka	217786	sātānika	relaxed	1
SatAvarta	209669	śatāvartā	relaxed	1
SatadrukA	216874	śatadruka	relaxed	1
SataprAsa	210427	śataprāśa	relaxed	1
SatasA	167027	satasā	relaxed	1
SevAlI	170314	sevālī	relaxed	1
SfNKalika	166017	śṛṅkhalikā	relaxed	13
Sici	215306	sici	relaxed	1
SilAdAna	208538	śilādana	relaxed	1
SilAsana	208518	śilāśana	relaxed	3
Silina	209066	śīlīna	relaxed	1
SiloYCa	224694	śiloñchā	relaxed	3
SitipAda	222195	śitipada	relaxed	4
SivAnanda	175645	śivānandā	relaxed	2
SivAwikA	205910	sivātikā	relaxed	1
SivaBakta	204919	śivābhakta	relaxed	1
SivatIrTa	208005	śīvatīrtha	relaxed	1
Sivi	205676	śivī	relaxed	1
SlAGana	41111	ślāghanā	relaxed	1
SlaTAy	205384	ślathay	relaxed	3
SoBAy	157511	śobhay	relaxed	325
SoBika	216548	śobhikā	relaxed	2
SoDaka	216585	soḍhāka	relaxed	1
SoPa	167277	śophā	relaxed	1
Som	213093	soṃ	relaxed	3
SrAvaRaSIrzaka	169149	śravaṇaśīrṣakā	relaxed	2
SrIDara	209656	śrīdharā	relaxed	1
SrIkArI	209657	śrīkarī	relaxed	1
SrIniketana	172025	śrīniketanā	relaxed	1
SrIpA	201391	śrīpa	relaxed	1
SrOzwi	221078	śrauṣṭī	relaxed	1
SrUzA	223509	śruṣa	relaxed	2
SraTAy	219719	śrathay	relaxed	9
SrutadevI	176449	śrutādevī	relaxed	2
SuBAna	211962	subhāna	relaxed	1
SudDAyU	223628	śuddhāyu	relaxed	5
Suk	214933	ṣuk	relaxed	3
Suktaka	208492	sūktaka	relaxed	1
SunIra	172950	sunīrā	relaxed	1
Suzka	206645	śuṣkā	relaxed	2
Svanara	214085	svanara	relaxed	1
Svayana	217125	svayana	relaxed	1
SvetaPalA	210716	śvetaphala	relaxed	1
Syan	213531	ṣyaṅ	relaxed	3
Syan	215837	ṣyañ	relaxed	1
SyenapAta	215723	śyenapātā	relaxed	5
Un	213868	uñ	relaxed	3
Un	215572	uṇ	relaxed	2
UrDvapAtanayantra	176697	ūrdhvapātanāyantra	relaxed	3
UrRavABi	222027	ūrṇāvabhi	relaxed	1
UrzA	199581	ūrṣa	relaxed	1
aBAvanA	22066	abhāvana	relaxed	3
aBAvanA	170646	abhavana	relaxed	1
aBakti	222746	ābhakti	relaxed	1
aBiBava	221225	abhībhava	relaxed	1
aBiSravaRa	225211	abhiśrāvaṇa	relaxed	4
aBigF	158602	abhigṛ	relaxed	14
aBilAzika	208181	ābhilāṣika	relaxed	1
aBimAda	212321	abhimada	relaxed	1
aBimanAy	201716	abhimānay	relaxed	2
aBinizWiv	158729	abhiniṣṭhīv	relaxed	2
aBinu	223141	abhinū	relaxed	2
aBipF	199615	abhipṛ	relaxed	8
aBipiS	221100	abhipiṣ	relaxed	2
aBipradF	158803	abhipradṛ	relaxed	1
aBipratigF	158793	abhipratigṛ	relaxed	1
aBisaMgF	159117	abhisaṃgṛ	relaxed	3
aBisaMtF	159127	abhisaṃtṛ	relaxed	2
aBisambuD	199298	abhisaṃbudh	relaxed	148
aBitF	158635	abhitṛ	relaxed	2
aBivIkzA	222697	abhivikśā	relaxed	3
aBiviSF	159001	abhiviśṛ	relaxed	1
aBivijYA	168110	abhivijña	relaxed	1
aBivyakta	209237	abhivyaktā	relaxed	1
aBizWiv	159081	abhiṣṭhīv	relaxed	1
aBizeRa	221226	abhīṣeṇa	relaxed	1
aBraka	201327	ābhraka	relaxed	1
aBrama	218495	ābhrama	relaxed	1
aByAtF	159301	abhyātṛ	relaxed	3
aByUhanA	218017	abhyūhana	relaxed	1
aByaYj	223789	abhyāñj	relaxed	2
aByavakF	159261	abhyavakṛ	relaxed	38
aByupAhf	224167	abhyupahṛ	relaxed	1
aByupagam	172254	abhyupāgam	relaxed	12
aByuttF	159336	abhyuttṛ	relaxed	1
aDIvAsas	212475	adhivāsas	relaxed	1
aDarIkf	172756	ādhārīkṛ	relaxed	1
aDarakaRwaka	205934	adharakaṇṭakā	relaxed	1
aDaray	209984	ādhāray	relaxed	4
aDidanta	225514	adhidānta	relaxed	1
aDidevatA	223106	adhidevata	relaxed	27
aDikAraka	211940	ādhikāraka	relaxed	2
aDiprajYA	217458	adhiprajña	relaxed	1
aDyAvApa	226374	adhyāvapa	relaxed	1
aDyasTa	211513	adhyāsthā	relaxed	1
aDyavasAna	225212	adhyavasana	relaxed	1
aDyayana	169654	adhyāyana	relaxed	2
aGAtuka	224791	āghātuka	relaxed	1
aGahAra	223213	aghahārā	relaxed	1
aMSaka	210559	aṃsaka	relaxed	3
aMSika	174356	aṃśikā	relaxed	17
aNgadIya	206914	aṅgadīyā	relaxed	2
aNguzWa	213070	aṅguṣṭhā	relaxed	1
aNkaloqya	173766	aṅkāloḍya	relaxed	1
aRImARqavya	201875	āṇīmāṇḍavya	relaxed	2
aSAKA	176931	aśākha	relaxed	1
aSAy	168166	āśay	relaxed	88
aSAy	171220	āsay	relaxed	9
aSEvala	172623	aśaivalā	relaxed	2
aSOcaka	214018	āśaucaka	relaxed	2
aSanavat	202031	āsanavat	relaxed	6
aSanin	212905	āsanin	relaxed	2
aSmala	220985	aśmalā	relaxed	2
aSoca	174414	aśocā	relaxed	1
aSucitA	171628	aśucita	relaxed	1
aSvakarRa	206885	āśvakarṇa	relaxed	1
aSvala	170437	aśvāla	relaxed	1
aSvayu	175829	aśvāyu	relaxed	1
acCAvAkIya	221333	acchāvākīyā	relaxed	7
acEtanya	170164	ācaitanya	relaxed	12
adUzya	171359	aduṣya	relaxed	4
adaka	220009	ādaka	relaxed	1
adantya	214494	ādāntya	relaxed	1
adarSin	215083	ādarśin	relaxed	1
adri	205214	adrī	relaxed	1
adrikA	209034	adrika	relaxed	1
agAvaha	212437	āgāvaha	relaxed	2
agadaMkAra	203419	agadaṃkara	relaxed	2
agarha	171164	agarhā	relaxed	2
agnIzomIya	219800	agniṣomīya	relaxed	2
agnIzomIya	224484	āgnīṣomīya	relaxed	3
agniSeKara	5861	agnisekhara	relaxed	1
agnidatta	219229	agnidattā	relaxed	1
agnituRqa	204639	agnituṇḍā	relaxed	1
agnivisarpa	214274	agnivīsarpa	relaxed	1
agnyA	217299	āgnya	relaxed	1
agotra	209628	agotrā	relaxed	1
agrahaRa	215247	āgrahaṇa	relaxed	1
ahIra	225254	ahira	relaxed	1
ahaMmAnin	206814	ahammānin	relaxed	2
ahampratyaya	170925	ahaṃpratyaya	relaxed	2
ahiMsA	201392	ahiṃsa	relaxed	3
ahiMsAna	213289	ahiṃsana	relaxed	1
ahiMsaka	208511	āhiṃsaka	relaxed	1
ahilocana	173921	ahilocanā	relaxed	1
ahimAra	176039	ahimara	relaxed	1
ahinas	222396	ahīnas	relaxed	3
ajakarRa	175661	ajākarṇa	relaxed	1
ajamuKI	201623	ajāmukhī	relaxed	2
ajikA	208259	ājika	relaxed	1
ajikA	224918	ājīka	relaxed	1
ajinAvatI	211778	ajinavatī	relaxed	4
ajiravatI	218431	ajirāvatī	relaxed	1
akAraRaka	170654	akaraṇaka	relaxed	2
akAraka	174604	ākāraka	relaxed	8
akaSAya	205417	akaṣāya	relaxed	1
akalpika	221505	ākalpika	relaxed	1
akartf	221134	ākartṛ	relaxed	1
akftrima	215685	akṛtrimā	relaxed	1
akuDryaYc	222722	akūdhryañc	relaxed	3
akzan	202369	ākṣan	relaxed	1
akzita	199751	akṣitā	relaxed	1
akzoBa	204523	ākṣobha	relaxed	1
akzudra	209659	akṣudrā	relaxed	1
alaMkAravatI	219170	alaṃkaravatī	relaxed	1
alaMkaraRa	219716	alaṃkāraṇa	relaxed	1
alaMpura	172409	alampura	relaxed	4
alaktaka	205624	ālaktaka	relaxed	4
alakzmI	222507	alakṣmi	relaxed	1
alavAlaka	204918	ālavālaka	relaxed	2
alavaRa	202729	alavaṇā	relaxed	1
alikAtIrTa	212216	ālikātīrtha	relaxed	1
allama	169502	allāma	relaxed	1
allama	173893	āllama	relaxed	1
alomaSa	174586	alomaśā	relaxed	2
amAhaWa	200137	āmāhaṭha	relaxed	1
amUra	31869	amura	relaxed	2
amada	173804	āmaḍā	relaxed	1
amajjana	219266	āmajjana	relaxed	1
amarzin	209433	āmarśin	relaxed	1
ambayA	219769	āmbaya	relaxed	1
ambazWakI	206133	āmbaṣṭhakī	relaxed	1
amfja	219876	amṛjā	relaxed	1
amftakanda	211386	amṛtakandā	relaxed	1
amlasAra	167031	amlasarā	relaxed	1
amlavAstUka	168519	amlavāstuka	relaxed	1
amu	215935	āmu	relaxed	1
anASrita	167474	anāśritā	relaxed	1
anASya	223039	anaśya	relaxed	1
anAhArin	169517	anāharin	relaxed	1
anAmikA	206291	anāmika	relaxed	1
anAyAsa	212009	anāyasa	relaxed	4
anAzwra	212730	anastra	relaxed	2
anDakAri	173503	andhakārī	relaxed	4
anDraka	199550	āndhraka	relaxed	5
anUdyaM	216062	anūdyam	relaxed	10
anUkASa	222741	anukāśa	relaxed	1
anUkASin	224343	anukāśin	relaxed	1
anUparAma	169698	anuparama	relaxed	1
anUtTA	200003	anuttha	relaxed	2
anUtsarga	171522	anutsarga	relaxed	3
anaBijYa	200694	anabhijñā	relaxed	1
anaBimAna	214596	anabhīmāna	relaxed	1
anaGa	223604	anaghā	relaxed	1
anantara	9894	anantarā	relaxed	2
anapaSrita	210357	anapāśrita	relaxed	1
anapahata	214552	anapāhata	relaxed	1
anapakfta	212441	anapākṛta	relaxed	1
anapekzita	170689	anapekṣitā	relaxed	1
anaquhI	174714	ānaḍuhī	relaxed	1
anaraka	203686	anāraka	relaxed	1
anasvat	215468	anāśvat	relaxed	6
aniHsrAvin	211036	aniḥśrāvin	relaxed	1
anilApaha	174056	anilāpahā	relaxed	1
animizatA	221418	animiṣata	relaxed	1
annapatIyA	223760	annapatīya	relaxed	1
antaHprasavA	225447	antaḥprasava	relaxed	1
anuSAlA	211152	anuśāla	relaxed	1
anuSrAvaRa	171011	anuśravaṇa	relaxed	2
anubanDitva	171461	ānubandhitva	relaxed	1
anucaryA	225352	anucarya	relaxed	1
anudF	157772	anudṛ	relaxed	7
anugF	157717	anugṛ	relaxed	1
anugrAhaka	208323	anugrahaka	relaxed	1
anugraha	213089	anugrahā	relaxed	5
anuhurC	158215	anuhūrch	relaxed	1
anukAla	208890	anukala	relaxed	1
anukaraRa	201359	anukāraṇa	relaxed	1
anunu	223342	anunū	relaxed	1
anupAlaBya	171756	anupalabhya	relaxed	2
anupUrvaSaH	175802	ānupūrvaśaḥ	relaxed	1
anupalabDa	201199	anupālabdha	relaxed	1
anuparikF	157830	anuparikṛ	relaxed	1
anuparisic	223821	anupariṣic	relaxed	4
anurI	158009	anuri	relaxed	1
anuroha	224064	anūroha	relaxed	3
anusU	224256	anuṣū	relaxed	2
anusaMtF	158182	anusaṃtṛ	relaxed	2
anusamaya	218420	anusamāyā	relaxed	1
anutF	157756	anutṛ	relaxed	2
anuvA	224065	anuva	relaxed	1
anuvadana	216070	anuvādana	relaxed	1
anuvft	224063	anūvṛt	relaxed	2
anuvisf	216015	anuviśṛ	relaxed	1
anuvyaS	224899	anuvyas	relaxed	1
anuzWAnI	11416	anuṣṭhāni	relaxed	2
anuziD	203072	anusidh	relaxed	2
anvavArj	222445	anvavarj	relaxed	2
apANktya	213061	apaṅktya	relaxed	3
apAkartu	220635	apakartu	relaxed	1
apAraka	175323	aparaka	relaxed	1
apUta	212294	apuṭa	relaxed	1
apaSastra	214353	apaśāstra	relaxed	2
apacAyanA	224197	apacayana	relaxed	1
apacana	210806	apācana	relaxed	1
apahAraka	208162	apaharaka	relaxed	1
apahft	174777	āpahṛt	relaxed	1
apakram	208333	apākram	relaxed	5
apakramin	224905	apakrāmin	relaxed	1
apalApa	204532	apālāpa	relaxed	3
apalAzin	176932	apalāśin	relaxed	1
apalita	214348	apālita	relaxed	1
apamArgaka	165911	apāmārgaka	relaxed	4
aparAnta	211128	āparānta	relaxed	1
aparihAra	213192	aparīhāra	relaxed	1
apasArya	222057	apasaryā	relaxed	1
apavfj	221119	apāvṛj	relaxed	1
apivat	224323	āpīvat	relaxed	2
aprArTanIyA	209424	aprārthanīya	relaxed	2
aprAveSya	212612	apraveśya	relaxed	1
apragADa	211368	apragāḍha	relaxed	1
aprastava	211566	aprastāva	relaxed	2
apratIGAtin	210278	apratighātin	relaxed	1
apratisaMbadDa	207617	apratisambaddha	relaxed	3
apratisaMvedanA	203685	apratisaṃvedana	relaxed	1
apratizidDa	202660	apratisiddha	relaxed	2
aprayata	210080	aprayāta	relaxed	2
aqq	214771	adḍ	relaxed	1
arAdDi	217180	ārāddhi	relaxed	1
arDArDikA	218270	ardhardhikā	relaxed	1
arTakArin	211765	arthakarin	relaxed	1
araka	207277	āraka	relaxed	2
argalAy	226193	argalay	relaxed	1
arhaka	218432	ārhaka	relaxed	1
arpay	221098	ārpay	relaxed	21
aruMzikA	199965	arūṃṣikā	relaxed	6
asTiSfNKalA	172175	asthiśṛṅkhala	relaxed	1
asaMBAvin	169699	asambhavin	relaxed	4
asaMkara	209205	aśāṃkara	relaxed	1
asaMprajanya	170946	asamprajanya	relaxed	4
asaNgata	171214	asaṅgatā	relaxed	1
asamaYjas	176434	asāmañjas	relaxed	1
asamanta	212047	asāmanta	relaxed	1
asampfkta	175002	asaṃpṛkta	relaxed	3
asfgdara	203831	āsṛgdara	relaxed	1
astanA	173886	astana	relaxed	2
astu	216292	āstu	relaxed	2
asvArTa	176654	asvartha	relaxed	1
asvagatA	222378	asvagata	relaxed	1
asvarUpa	225267	aśvarūpa	relaxed	1
atISa	219352	atisā	relaxed	1
atfzRa	200687	atṛṣṇā	relaxed	2
atiN	215386	atīṇ	relaxed	1
atibIja	174066	atibījā	relaxed	1
aticaraRa	207001	aticaraṇā	relaxed	1
atikfzRa	216954	atikṛṣṇā	relaxed	1
